Provider,Flavor,Category,CPU,RAM,Root volume,Extra volume number,Extra volume size,GPU,GPU model
Google Cloud,n1-standard-1 Intel Broadwell NVME SSD,Storage performance,1,3.8GB,0,1,375,0,
Google Cloud,n1-standard-2 Intel Broadwell NVME SSD,Storage performance,2,7.5GB,0,1,375,0,
Google Cloud,n1-standard-4 Intel Broadwell NVME SSD,Storage performance,4,15.0GB,0,2,375,0,
Google Cloud,n1-standard-8 Intel Broadwell NVME SSD,Storage performance,8,30.0GB,0,4,375,0,
Google Cloud,c2-standard-4 Intel Cascade Lake,Compute optimized,4,16.0GB,0,0,0,0,
Google Cloud,c2-standard-8 Intel Cascade Lake,Compute optimized,8,32.0GB,0,0,0,0,
Google Cloud,c2d-standard-2 AMD Milan,Compute optimized,2,8.0GB,0,0,0,0,
Google Cloud,c2d-standard-4 AMD Milan,Compute optimized,4,16.0GB,0,0,0,0,
Google Cloud,c2d-standard-8 AMD Milan,Compute optimized,8,32.0GB,0,0,0,0,
Google Cloud,c2-standard-4 Intel Cascade Lake NVME SSD,Storage performance,4,16.0GB,0,2,375,0,
Google Cloud,c2-standard-8 Intel Cascade Lake NVME SSD,Storage performance,8,32.0GB,0,4,375,0,
Google Cloud,Custom E2 2 vCPU 4GB Intel Broadwell,Flexible,2,4.0GB,0,0,0,0,
Google Cloud,Custom E2 2 vCPU 12GB Intel Broadwell,Flexible,2,12.0GB,0,0,0,0,
Google Cloud,Custom E2 2 vCPU 16GB Intel Broadwell,Flexible,2,16.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 8GB Intel Broadwell,Flexible,4,8.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 12GB Intel Broadwell,Flexible,4,12.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 24GB Intel Broadwell,Flexible,4,24.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 32GB Intel Broadwell,Flexible,4,32.0GB,0,0,0,0,
Google Cloud,Custom E2 8 vCPU 12GB Intel Broadwell,Flexible,8,12.0GB,0,0,0,0,
Google Cloud,Custom E2 8 vCPU 16GB Intel Broadwell,Flexible,8,16.0GB,0,0,0,0,
Google Cloud,Custom E2 8 vCPU 24GB Intel Broadwell,Flexible,8,24.0GB,0,0,0,0,
Google Cloud,Custom E2 8 vCPU 48GB Intel Broadwell,Flexible,8,48.0GB,0,0,0,0,
Google Cloud,Custom E2 8 vCPU 64GB Intel Broadwell,Flexible,8,64.0GB,0,0,0,0,
Google Cloud,Custom E2 2 vCPU 4GB Intel Skylake,Flexible,2,4.0GB,0,0,0,0,
Google Cloud,Custom E2 2 vCPU 12GB Intel Skylake,Flexible,2,12.0GB,0,0,0,0,
Google Cloud,Custom E2 2 vCPU 16GB Intel Skylake,Flexible,2,16.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 8GB Intel Skylake,Flexible,4,8.0GB,0,0,0,0,
Google Cloud,Custom E2 4 vCPU 12GB Intel Skylake,Flexible,4,12.0GB,0,0,0,0,
