Provider,Zone,Sub-region,Flavor,Slug,CPU,RAM(in GB),Hourly,Monthly,1-Year no up.,1-Year par. up.,1-Year par. fee,1-Year all up.,2-Year no up.,2-Year par. up.,2-Year par. fee,2-Year all up.,3-Year no up.,3-Year par. up.,3-Year par. fee,3-Year all up.,currency,rate
3DS Outscale,eu-west-2,eu-west,io5.2xlarge,io5.2xlarge,6,82.0,0.921,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,c5.large,c5.large,2,4.0,0.106,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,c5.xlarge,c5.xlarge,4,8.0,0.212,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,c5.2xlarge,c5.2xlarge,8,16.0,0.425,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,oc5.2xlarge,oc5.2xlarge,6,82.0,0.891,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,m5.large,m5.large,2,8.0,0.116,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,m5.xlarge,m5.xlarge,4,16.0,0.233,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,m5.2xlarge,m5.2xlarge,8,33.0,0.474,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,r4.large,r4.large,2,16.0,0.182,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,r4.xlarge,r4.xlarge,4,31.0,0.355,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,r4.2xlarge,r4.2xlarge,8,62.0,0.711,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,t2.micro,t2.micro,1,1.0,0.018,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,t2.nano,t2.nano,1,1.0,0.018,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,t2.small,t2.small,1,2.0,0.027,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,t2.medium,t2.medium,2,4.0,0.053,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,t2.large,t2.large,2,8.0,0.086,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,hi1.xlarge,hi1.xlarge,4,430.0,3.632,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,om5.2xlarge,om5.2xlarge,6,164.0,1.493,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,i2.xlarge,i2.xlarge,4,30.0,0.471,,,,,,,,,,,,,,EUR,1.02
3DS Outscale,eu-west-2,eu-west,i2.2xlarge,i2.2xlarge,8,62.0,0.957,,,,,,,,,,,,,,EUR,1.02
Alibaba Cloud,Central Europe 1,eu-central,ecs.mn4.small,ecsmn4small,1,4.0,0.059,29.6,,,,355.08,,,,710.16,,,,1065.24,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.mn4.large,ecsmn4large,2,8.0,0.118,59.2,,,,710.28,,,,1420.56,,,,2130.84,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.mn4.xlarge,ecsmn4xlarge,4,16.0,0.237,118.4,,,,1420.44,,,,2840.88,,,,4261.32,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.mn4.2xlarge,ecsmn42xlarge,8,32.0,0.475,236.8,,,,2841.0,,,,5682.0,,,,8523.0,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.d1ne.2xlarge,ecsd1ne2xlarge,8,32.0,0.801,384.2,,,,4610.76,,,,9221.52,,,,13832.28,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.xn4.small,ecsxn4small,1,1.0,0.014,7.2,,,,86.76,,,,173.52,,,,260.28,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.n4.small,ecsn4small,1,2.0,0.027,14.4,,,,172.56,,,,345.12,,,,517.68,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.n4.large,ecsn4large,2,4.0,0.054,28.8,,,,346.08,,,,692.16,,,,1038.24,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.n4.xlarge,ecsn4xlarge,4,8.0,0.173,92.0,,,,1104.0,,,,2208.0,,,,3312.0,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.n4.2xlarge,ecsn42xlarge,8,16.0,0.345,184.0,,,,2208.0,,,,4416.0,,,,6624.0,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.sn1ne.large,ecssn1nelarge,2,4.0,0.1,50.6,,,,606.72,,,,1213.44,,,,1820.16,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.sn1ne.xlarge,ecssn1nexlarge,4,8.0,0.201,102.9,,,,1235.16,,,,2470.32,,,,3705.48,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.sn1ne.2xlarge,ecssn1ne2xlarge,8,16.0,0.404,205.2,,,,2462.64,,,,4925.28,,,,7387.92,USD,1.0
Alibaba Cloud,Central Europe 1,eu-central,ecs.c5.large,ecsc5large,2,4.0,0.081,38.7,,,,464.76,,,,929.52,,,,1394.28,USD,1.0
