Slug,Provider,Flavor,Category,CPU,RAM,Root volume,Extra volume number,Extra volume size,GPU,GPU model
c5.large,3DS Outscale,c5.large,Compute optimized,2,4.0GB,0,0,0,0,
c5.xlarge,3DS Outscale,c5.xlarge,Compute optimized,4,8.0GB,0,0,0,0,
c5.2xlarge,3DS Outscale,c5.2xlarge,Compute optimized,8,16.0GB,0,0,0,0,
hi1.xlarge,3DS Outscale,hi1.xlarge,Storage performance,4,430.0GB,0,0,0,0,
i2.xlarge,3DS Outscale,i2.xlarge,Storage performance,4,30.0GB,0,1,800,0,
i2.2xlarge,3DS Outscale,i2.2xlarge,Storage performance,8,62.0GB,0,2,800,0,
io5.2xlarge,3DS Outscale,io5.2xlarge,Storage performance,6,82.0GB,0,1,640,0,
m5.large,3DS Outscale,m5.large,General Purpose,2,8.0GB,0,0,0,0,
m5.xlarge,3DS Outscale,m5.xlarge,General Purpose,4,16.0GB,0,0,0,0,
m5.2xlarge,3DS Outscale,m5.2xlarge,General Purpose,8,33.0GB,0,0,0,0,
oc5.2xlarge,3DS Outscale,oc5.2xlarge,Compute optimized,6,82.0GB,0,0,0,0,
om5.2xlarge,3DS Outscale,om5.2xlarge,HPC,6,164.0GB,0,0,0,0,
r4.large,3DS Outscale,r4.large,Memory optimized,2,16.0GB,0,0,0,0,
r4.xlarge,3DS Outscale,r4.xlarge,Memory optimized,4,31.0GB,0,0,0,0,
r4.2xlarge,3DS Outscale,r4.2xlarge,Memory optimized,8,62.0GB,0,0,0,0,
t2.micro,3DS Outscale,t2.micro,Tiny,1,1.0GB,0,0,0,0,
t2.nano,3DS Outscale,t2.nano,Tiny,1,1.0GB,0,0,0,0,
t2.small,3DS Outscale,t2.small,Tiny,1,2.0GB,0,0,0,0,
t2.medium,3DS Outscale,t2.medium,Tiny,2,4.0GB,0,0,0,0,
t2.large,3DS Outscale,t2.large,Tiny,2,8.0GB,0,0,0,0,
ecss6-c1m1small,Alibaba Cloud,ecs.s6-c1m1.small,,1,1.0GB,0,0,0,0,
ecsht6csmall,Alibaba Cloud,ecs.ht6c.small,,1,2.0GB,0,0,0,0,
ecss6-c1m2small,Alibaba Cloud,ecs.s6-c1m2.small,,1,2.0GB,0,0,0,0,
ecsht6gsmall,Alibaba Cloud,ecs.ht6g.small,,1,4.0GB,0,0,0,0,
ecss6-c1m4small,Alibaba Cloud,ecs.s6-c1m4.small,,1,4.0GB,0,0,0,0,
ecs.poc-test.t53,Alibaba Cloud,ecs.poc-test.t53,,1,4.0GB,0,0,0,0,
ecs.g6r.small,Alibaba Cloud,ecs.g6r.small,,1,4.0GB,0,0,0,0,
ecs.g8m.small,Alibaba Cloud,ecs.g8m.small,,1,4.0GB,0,0,0,0,
ecsht6rsmall,Alibaba Cloud,ecs.ht6r.small,,1,8.0GB,0,0,0,0,
ecs.r8m.small,Alibaba Cloud,ecs.r8m.small,,1,8.0GB,0,0,0,0,
ecst6-c4m1large,Alibaba Cloud,ecs.t6-c4m1.large,,2,512.0MB,0,0,0,0,
ecst6-c2m1large,Alibaba Cloud,ecs.t6-c2m1.large,,2,1.0GB,0,0,0,0,
ecst6-c1m1large,Alibaba Cloud,ecs.t6-c1m1.large,,2,2.0GB,0,0,0,0,
ecsic6large,Alibaba Cloud,ecs.ic6.large,,2,2.0GB,0,0,0,0,
ecsv5-c1m2large,Alibaba Cloud,ecs.v5-c1m2.large,,2,4.0GB,0,0,0,0,
ecsc5tlarge,Alibaba Cloud,ecs.c5t.large,,2,4.0GB,0,0,0,0,
ecst6-c1m2large,Alibaba Cloud,ecs.t6-c1m2.large,,2,4.0GB,0,0,0,0,
ecsht6clarge,Alibaba Cloud,ecs.ht6c.large,,2,4.0GB,0,0,0,0,
ecsec3large,Alibaba Cloud,ecs.ec3.large,,2,4.0GB,0,0,0,0,
ecss6-c1m2large,Alibaba Cloud,ecs.s6-c1m2.large,,2,4.0GB,0,0,0,0,
ecs.poc-test.t11,Alibaba Cloud,ecs.poc-test.t11,,2,4.0GB,0,0,0,0,
ecs.poc-test.t42,Alibaba Cloud,ecs.poc-test.t42,,2,4.0GB,0,0,0,0,
ecs.poc-test.t24,Alibaba Cloud,ecs.poc-test.t24,,2,4.0GB,0,0,0,0,
ecs.ec5.large,Alibaba Cloud,ecs.ec5.large,,2,4.0GB,0,0,0,0,
ecs.c5-prio.large,Alibaba Cloud,ecs.c5-prio.large,,2,4.0GB,0,0,0,0,
ecs.c7n.large,Alibaba Cloud,ecs.c7n.large,,2,4.0GB,0,0,0,0,
